customer_id,customer_name,customer_phone,customer_address
1,Aaron,1833-485-6108,Mankato Mississippi 96522
2,James,1833-485-6102,Frederick Nebraska 20620
3,Daniel,1833-485-6101,Roseville NH 11523
4,William,1833-485-6114,Azusa New York 39531
5,Jayden,1833-485-6113,San Antonio MI 47096
6,Jacob,1833-485-6115,Tamuning PA 10855
7,Isabella,1833-485-6117,Corona New Mexico 08219
8,Madison,1833-485-6116,Muskegon KY 12482
9,Emily,1833-485-6119,Chelsea MI 67708
10,Olivia,1833-485-6110,Santa Rosa MN 98804
11,Ava,1833-485-6517,Lebanon KY 69409
12,Logan,1833-485-6018,Erie Rhode Island 24975
13,Owen,1833-485-6219,Latrobe DE 38100
14,Ryan,1833-485-6320,Bandera South Dakota 45149
15,Wyatt,1833-485-6421,Woodruff SC 49854
16,Mason,1833-485-6522,Idaho Falls Ohio 19253
17,Alexander,1833-485-6723,Bethlehem Utah 02913
18,Ethan,1833-485-6624,San Bernardino ND 09289
19,Sophia,1833-485-6925,Amesbury HI 93373
20,Christopher,1833-485-6826,Fort Dodge GA 20783
